Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30309, USA",,7/1/2018,85.4,72.4,78.4,,90.7,0.2,,8.8,,53.8,81.22,"Rain, Partially cloudy"
,"30309, USA",,7/2/2018,87,72.9,78.9,,92.8,0,,10.9,,63.1,81.38,Partially cloudy
,"30309, USA",,7/3/2018,90.8,72.5,82.2,,95.4,0,,8.1,,23,70.82,Clear
,"30309, USA",,7/4/2018,89.3,72.1,80,,95.2,0.4,,9.2,,44.1,78.03,"Rain, Partially cloudy"
,"30309, USA",,7/5/2018,86.8,73.2,80,,92.9,0,,7.9,,45.4,77.67,Partially cloudy
,"30309, USA",,7/6/2018,89.1,72.5,77.7,,95.4,1.2,,15.3,39.1,39,83.14,"Rain, Partially cloudy"
,"30309, USA",,7/7/2018,84.1,70.7,76.1,,88.7,0.3,,8.9,,53,83.96,"Rain, Partially cloudy"
,"30309, USA",,7/8/2018,83.4,69.4,76.1,,85.3,0,,11.3,,57.7,71.57,Partially cloudy
,"30309, USA",,7/9/2018,88.1,65.6,77.2,,89.4,0,,7.1,,9.3,66.14,Clear
,"30309, USA",,7/10/2018,90.9,69.2,80.4,,93.5,0,,9,,18,69.02,Clear
,"30309, USA",,7/11/2018,92.8,72.1,82.5,,98.5,0,,6.9,,26.7,69.63,Partially cloudy
,"30309, USA",,7/12/2018,92.2,74.1,83.2,,98.4,0,,8.3,,17,71.1,Clear
,"30309, USA",,7/13/2018,88.5,74.7,80.2,,97.5,0,,10.7,,56.7,81.3,Partially cloudy
,"30309, USA",,7/14/2018,87.3,74.5,78.2,,95.3,0.8,,10.6,,79,86.12,"Rain, Overcast"
,"30309, USA",,7/15/2018,89.8,73.6,80,,97.2,0.2,,6.2,,59.9,80.01,"Rain, Partially cloudy"
,"30309, USA",,7/16/2018,86,73.6,78,,95.6,1.4,,9.8,31.1,58.9,88.28,"Rain, Partially cloudy"
,"30309, USA",,7/17/2018,90.4,72.4,80.2,,95.7,0,,9.4,,49.9,79,Partially cloudy
,"30309, USA",,7/18/2018,91.4,73.8,82.1,,96.3,0,,7.8,,22.8,71.97,Clear
,"30309, USA",,7/19/2018,88.7,72.8,79.2,,94.7,0,,10.9,,40.9,78.88,Partially cloudy
,"30309, USA",,7/20/2018,86.7,73.9,78.8,,90.7,0,,8.8,,71.5,76.66,Partially cloudy
,"30309, USA",,7/21/2018,87.5,67,77.4,,94.6,1,,9.5,35.4,46.4,80.71,"Rain, Partially cloudy"
,"30309, USA",,7/22/2018,86.1,69.7,76.8,,87.7,0.1,,12.9,,28.2,74.07,"Rain, Partially cloudy"
,"30309, USA",,7/23/2018,84.2,67.6,74.7,,86.7,0.4,,7.1,,67.9,80.85,"Rain, Partially cloudy"
,"30309, USA",,7/24/2018,84,70.8,75.6,,88,0.3,,5.2,,64.5,84.13,"Rain, Partially cloudy"
,"30309, USA",,7/25/2018,88,69.9,78.5,,92,0,,11.9,,25.2,74.85,Partially cloudy
,"30309, USA",,7/26/2018,89.5,67.9,78.4,,88.8,0,,8.1,,8.8,67.44,Clear
,"30309, USA",,7/27/2018,89.8,66.3,78.4,,91.7,0,,9.3,,15.4,70.25,Clear
,"30309, USA",,7/28/2018,88.5,70.4,79.3,,87.6,0,,10.6,,15.3,61.74,Clear
,"30309, USA",,7/29/2018,89.1,64.7,77.1,,88.2,0,,6.3,,8.7,64.75,Clear
,"30309, USA",,7/30/2018,85.6,70,77.2,,91.9,0,,8.5,,49.4,82.5,Partially cloudy
,"30309, USA",,7/31/2018,82.4,70,74,,88.5,1.4,,7.2,,72.1,90.85,"Rain, Partially cloudy"
,"30309, USA",,8/1/2018,75.8,70,72,,,1.2,,8.5,,92,96.56,"Rain, Overcast"
,"30309, USA",,8/2/2018,75.7,70.4,71.9,,,1.1,,7.2,,98.4,96.64,"Rain, Overcast"
,"30309, USA",,8/3/2018,86,70.4,76.6,,89.8,0.3,,8.5,,75.7,81.94,"Rain, Overcast"
,"30309, USA",,8/4/2018,86.2,69.3,77.9,,92,0,,7.8,,32.2,81.73,Partially cloudy
,"30309, USA",,8/5/2018,90.2,71,79.9,,96.4,0,,8,,22.4,79.22,Clear
,"30309, USA",,8/6/2018,92.4,73.2,82.5,,99.2,0,,8.7,,10.6,74.85,Clear
,"30309, USA",,8/7/2018,90.7,73.4,80.5,,97.3,0.2,,16.6,,22.8,77.49,"Rain, Clear"
,"30309, USA",,8/8/2018,90.6,71.4,79,,97.8,0.1,,13,,29,78.1,"Rain, Partially cloudy"
,"30309, USA",,8/9/2018,86.8,70.6,75.7,,95.3,1.7,,14.2,41.4,29,88.27,"Rain, Partially cloudy"
,"30309, USA",,8/10/2018,88,70.5,77.8,,92.7,0,,8.8,,63.5,81.4,Partially cloudy
,"30309, USA",,8/11/2018,86.3,73.5,79,,90.3,0,,10.8,,47.5,78.18,Partially cloudy
,"30309, USA",,8/12/2018,88.8,70.2,79.2,,95.1,0,,9.5,,16.3,75.24,Clear
,"30309, USA",,8/13/2018,87.9,69.4,78,,89,0,,8.1,,7.7,73.04,Clear
,"30309, USA",,8/14/2018,88.8,66.3,77.3,,89.9,0,,9.7,,10.6,71.51,Clear
,"30309, USA",,8/15/2018,90.8,66.8,78.4,,92,0,,4.3,,14.5,71.14,Clear
,"30309, USA",,8/16/2018,89,69,79.6,,94.1,0,,8.8,,20.4,75.12,Clear
,"30309, USA",,8/17/2018,85.7,72.9,78.1,,91.5,0,,9,,65,81.8,Partially cloudy
,"30309, USA",,8/18/2018,84.9,73.1,76.3,,91.1,0.7,,10.3,,88.5,89.17,"Rain, Overcast"
,"30309, USA",,8/19/2018,83.3,72.5,76.4,,88.8,0.1,,8.9,,83.8,87.45,"Rain, Overcast"
,"30309, USA",,8/20/2018,84.2,71.9,75.7,,89.8,0.3,,7.2,,71.9,88.44,"Rain, Partially cloudy"
,"30309, USA",,8/21/2018,84.4,72.4,77,,92.4,0.5,,13.9,,85.9,86.11,"Rain, Overcast"
,"30309, USA",,8/22/2018,83.2,68.7,75.9,,85.8,0,,12.1,,42.3,77.41,Partially cloudy
,"30309, USA",,8/23/2018,84.6,65.1,74.9,,85.4,0,,7,,26.2,71.11,Partially cloudy
,"30309, USA",,8/24/2018,81.4,62.7,72.4,,82.5,0,,10.8,,27.7,67.95,Partially cloudy
,"30309, USA",,8/25/2018,86.2,64.4,74.5,,88,0,,7.1,,28.9,67.07,Partially cloudy
,"30309, USA",,8/26/2018,87.8,66.3,77.2,,90.3,0,,6.2,,18,72.43,Clear
,"30309, USA",,8/27/2018,89.3,68.9,79,,93,0,,7.8,,14.6,73.18,Clear
,"30309, USA",,8/28/2018,89.6,70,79.5,,93.8,0,,7.3,,24.8,75.57,Clear
,"30309, USA",,8/29/2018,88.1,70.9,79.4,,92.8,0.1,,8.4,,25.6,77.06,"Rain, Partially cloudy"
,"30309, USA",,8/30/2018,88.4,68.1,77.9,,91.7,0,,10.3,,20.8,74.86,Clear
,"30309, USA",,8/31/2018,87.9,71.8,78.3,,90.7,0,,9,,22.3,73.95,Clear
,"30309, USA",,9/1/2018,90.3,69.8,79.1,,93.5,0,,8.2,,25.7,74.56,Partially cloudy
,"30309, USA",,9/2/2018,90.3,71.3,79.9,,92.9,0,,9.6,,38.8,72.03,Partially cloudy
,"30309, USA",,9/3/2018,89.1,71.5,79.8,,91.5,0,,9.6,,33.9,71.31,Partially cloudy
,"30309, USA",,9/4/2018,86.7,71.9,78.8,,90.7,0,,9.5,,23.7,75.71,Clear
,"30309, USA",,9/5/2018,86.8,72.5,79,,90.6,0,,9.3,,36.5,76.7,Partially cloudy
,"30309, USA",,9/6/2018,86,73.8,78.8,,90.3,0,,7.7,,40.2,78.84,Partially cloudy
,"30309, USA",,9/7/2018,89.9,70,78.9,,93.4,0,,5.9,,20.1,75.83,Clear
,"30309, USA",,9/8/2018,89.2,70.7,79.6,,93.6,0,,7.2,,22.8,75.33,Clear
,"30309, USA",,9/9/2018,86.8,70.8,78.7,,92.7,0.3,,9.9,,16.9,79.63,"Rain, Clear"
,"30309, USA",,9/10/2018,85.6,71.1,77.5,,91.1,0,,9.5,,29.4,82.75,Partially cloudy
,"30309, USA",,9/11/2018,85.8,71.1,78,,91.9,0,,6.6,,56.1,83.2,Partially cloudy
,"30309, USA",,9/12/2018,87.7,73.1,78.5,,93.4,0.2,,6.4,,46.6,83.03,"Rain, Partially cloudy"
,"30309, USA",,9/13/2018,88.8,73.5,80,,95.1,0,,6.1,,50.3,78.97,Partially cloudy
,"30309, USA",,9/14/2018,93.7,72.6,82.1,,99.4,0,,12.7,,12.8,72.83,Clear
,"30309, USA",,9/15/2018,92,71.4,79.9,,95.1,0,,10.9,,33.4,72.44,Partially cloudy
,"30309, USA",,9/16/2018,79.8,72.5,75.8,,,0,,13.2,,76.2,81.72,Overcast
,"30309, USA",,9/17/2018,89.4,67.4,77.8,,93.5,0,,8.6,,24.1,76.65,Clear
,"30309, USA",,9/18/2018,91.1,69.2,79.4,,93.8,0,,11,,10.2,71.39,Clear
,"30309, USA",,9/19/2018,91.6,69.6,79.6,,92.3,0,,7,,11.6,67.97,Clear
,"30309, USA",,9/20/2018,92.2,68.6,80,,93.9,0,,6.4,,18.3,66.53,Clear
,"30309, USA",,9/21/2018,88.7,68.6,78.3,,88.7,0,,7.1,,19.3,66.44,Clear
,"30309, USA",,9/22/2018,87.6,68.3,77.7,,89.6,0,,6.9,,33.6,71.4,Partially cloudy
,"30309, USA",,9/23/2018,88,65.4,76.5,,88.6,0,,8.4,,23.8,70.18,Clear
,"30309, USA",,9/24/2018,83.3,72.3,76.4,,86.9,0,,11.4,,70.6,78.13,Partially cloudy
