,Location,Address,Country,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Date,30324_Accidents
0,,30324, USA,2019-01-01,64.3,55.2,60.2,,,0.2,,6.4,,57.9,91.65,"Rain, Partially cloudy",01/01/2019,
1,,30324, USA,2019-01-02,56.8,47.3,51.4,46.5,,0.4,,7.1,,67.0,93.61,"Rain, Partially cloudy",01/02/2019,3.0
2,,30324, USA,2019-01-03,54.0,49.4,51.9,47.9,,0.4,,8.0,,99.3,97.55,"Rain, Overcast",01/03/2019,1.0
3,,30324, USA,2019-01-04,64.0,44.4,53.5,39.4,,1.0,,18.9,34.0,88.6,88.51,"Rain, Overcast",01/04/2019,1.0
4,,30324, USA,2019-01-05,56.6,43.2,47.8,35.3,,0.0,,17.7,31.1,43.4,67.01,Partially cloudy,01/05/2019,1.0
5,,30324, USA,2019-01-06,68.0,39.7,51.8,37.4,,0.0,,8.5,,3.4,63.79,Clear,01/06/2019,1.0
6,,30324, USA,2019-01-07,66.8,38.2,51.8,,,0.0,,9.9,,8.5,70.37,Clear,01/07/2019,4.0
7,,30324, USA,2019-01-08,64.3,47.0,55.1,47.3,,0.0,,10.6,,49.0,79.35,Partially cloudy,01/08/2019,1.0
8,,30324, USA,2019-01-09,55.5,38.5,46.1,28.8,,0.0,,20.8,34.4,0.0,39.86,Clear,01/09/2019,4.0
9,,30324, USA,2019-01-10,44.1,28.3,35.5,18.1,,0.0,,16.0,32.2,4.5,51.16,Clear,01/10/2019,5.0
10,,30324, USA,2019-01-11,52.4,26.2,39.0,33.3,,0.0,,7.0,,9.1,51.81,Clear,01/11/2019,2.0
11,,30324, USA,2019-01-12,41.8,35.6,39.4,29.5,,0.3,,10.5,,92.7,60.79,"Rain, Overcast",01/12/2019,
12,,30324, USA,2019-01-13,44.5,34.5,38.9,28.4,,0.2,,9.2,,100.0,93.75,"Rain, Overcast",01/13/2019,
