,Location,Address,Country,Date,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
0,,30324, USA,01/01/2019,64.3,55.2,60.2,,,0.2,,6.4,,57.9,91.65,"Rain, Partially cloudy",0,0,0,0,0,0,0,30324
1,,30324, USA,01/02/2019,56.8,47.3,51.4,46.5,,0.4,,7.1,,67.0,93.61,"Rain, Partially cloudy",0,1,2,0,0,3,3,30324
2,,30324, USA,01/03/2019,54.0,49.4,51.9,47.9,,0.4,,8.0,,99.3,97.55,"Rain, Overcast",0,0,1,0,0,1,1,30324
3,,30324, USA,01/04/2019,64.0,44.4,53.5,39.4,,1.0,,18.9,34.0,88.6,88.51,"Rain, Overcast",0,1,0,0,1,0,1,30324
4,,30324, USA,01/05/2019,56.6,43.2,47.8,35.3,,0.0,,17.7,31.1,43.4,67.01,Partially cloudy,0,0,1,0,0,1,1,30324
5,,30324, USA,01/06/2019,68.0,39.7,51.8,37.4,,0.0,,8.5,,3.4,63.79,Clear,0,0,1,0,0,1,1,30324
6,,30324, USA,01/07/2019,66.8,38.2,51.8,,,0.0,,9.9,,8.5,70.37,Clear,0,3,1,0,1,3,4,30324
7,,30324, USA,01/08/2019,64.3,47.0,55.1,47.3,,0.0,,10.6,,49.0,79.35,Partially cloudy,0,0,1,0,0,1,1,30324
8,,30324, USA,01/09/2019,55.5,38.5,46.1,28.8,,0.0,,20.8,34.4,0.0,39.86,Clear,0,4,0,0,1,3,4,30324
9,,30324, USA,01/10/2019,44.1,28.3,35.5,18.1,,0.0,,16.0,32.2,4.5,51.16,Clear,0,5,0,0,0,5,5,30324
10,,30324, USA,01/11/2019,52.4,26.2,39.0,33.3,,0.0,,7.0,,9.1,51.81,Clear,0,0,2,0,0,2,2,30324
11,,30324, USA,01/12/2019,41.8,35.6,39.4,29.5,,0.3,,10.5,,92.7,60.79,"Rain, Overcast",0,0,0,0,0,0,0,30324
12,,30324, USA,01/13/2019,44.5,34.5,38.9,28.4,,0.2,,9.2,,100.0,93.75,"Rain, Overcast",0,0,0,0,0,0,0,30324
13,,30324, USA,01/14/2019,45.5,38.5,42.4,31.3,,0.0,,12.9,,100.0,80.25,Overcast,0,3,3,0,1,5,6,30324
14,,30324, USA,01/15/2019,44.5,32.4,37.3,26.6,,0.0,,14.8,,56.4,73.18,Partially cloudy,0,2,0,0,0,2,2,30324
15,,30324, USA,01/16/2019,51.7,29.2,37.8,21.1,,0.0,,9.7,,8.6,76.22,Clear,0,2,5,0,0,7,7,30324
16,,30324, USA,01/17/2019,48.0,30.3,39.3,36.9,,0.2,,4.7,,54.5,91.15,"Rain, Partially cloudy",0,1,2,0,1,2,3,30324
17,,30324, USA,01/18/2019,55.7,44.3,48.6,43.3,,0.0,,4.5,,66.7,93.83,Partially cloudy,0,4,2,0,1,5,6,30324
18,,30324, USA,01/19/2019,61.5,46.4,54.3,49.4,,0.8,,13.9,,86.4,96.42,"Rain, Overcast",0,0,4,0,0,4,4,30324
19,,30324, USA,01/20/2019,52.2,27.4,34.8,16.4,,0.0,,22.1,37.8,62.8,67.27,Partially cloudy,0,0,1,0,1,0,1,30324
20,,30324, USA,01/21/2019,42.3,20.2,29.9,10.1,,0.0,,16.2,,4.4,45.98,Clear,0,0,0,0,0,0,0,30324
21,,30324, USA,01/22/2019,42.8,28.8,36.2,21.6,,0.0,,10.5,,57.5,37.14,Partially cloudy,0,2,0,0,0,2,2,30324
22,,30324, USA,01/23/2019,65.8,40.6,50.8,34.6,,1.4,,15.5,31.1,96.9,70.77,"Rain, Overcast",0,3,1,0,1,3,4,30324
23,,30324, USA,01/24/2019,52.8,33.4,41.4,26.9,,0.3,,19.7,37.8,62.2,80.8,"Rain, Partially cloudy",0,2,1,0,1,2,3,30324
24,,30324, USA,01/25/2019,44.8,29.5,35.9,22.0,,0.0,,13.8,,3.8,60.21,Clear,0,4,2,0,1,5,6,30324
25,,30324, USA,01/26/2019,48.9,24.6,35.6,22.0,,0.0,,11.8,,2.4,63.08,Clear,0,0,0,0,0,0,0,30324
26,,30324, USA,01/27/2019,50.4,27.7,37.9,45.3,,0.0,,6.3,,12.7,76.45,Clear,0,0,0,0,0,0,0,30324
27,,30324, USA,01/28/2019,56.6,27.3,42.6,44.1,,0.0,,13.5,,45.2,69.88,Partially cloudy,0,5,1,0,0,6,6,30324
28,,30324, USA,01/29/2019,50.0,27.1,39.9,16.9,,0.1,,16.5,29.8,59.9,63.79,"Rain, Partially cloudy",0,1,0,0,0,1,1,30324
29,,30324, USA,01/30/2019,42.2,20.5,30.6,14.3,,0.0,,15.4,29.8,6.6,49.38,Clear,0,2,2,0,1,3,4,30324
30,,30324, USA,01/31/2019,50.2,24.1,35.5,19.5,,0.0,,8.9,,14.4,54.64,Clear,0,0,0,0,0,0,0,30324
31,,30324, USA,02/01/2019,59.7,26.0,41.2,39.4,,0.0,,7.0,,5.4,59.27,Clear,0,2,0,0,0,2,2,30324
32,,30324, USA,02/02/2019,65.2,30.6,49.3,30.6,,0.0,,6.4,,42.3,65.45,Partially cloudy,0,0,0,0,0,0,0,30324
33,,30324, USA,02/03/2019,62.7,44.8,54.4,,,0.0,,6.8,,70.5,72.97,Partially cloudy,0,0,0,0,0,0,0,30324
34,,30324, USA,02/04/2019,64.5,38.1,50.9,,,0.0,,6.0,,45.9,84.05,Partially cloudy,0,2,1,0,2,1,3,30324
