Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Contributing Stations
,"30331, USA",,7/1/2018,84.6,73.1,78.6,,90.7,0,,10.9,,55.7,82.46,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/2/2018,87.7,73.9,79.7,,94.2,0,,13.1,,64.6,80.13,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/3/2018,91.4,72.5,82.8,,95.5,0,,9.4,,31.5,70.07,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/4/2018,90.2,72.9,81.1,,96.5,0.5,,13.9,31.1,51.9,75.68,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/5/2018,88.6,72.7,80.3,,94.1,0.1,,10.4,,49.8,78.4,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/6/2018,89.1,72.6,77.8,,96.6,1,,20.3,39.1,38.8,83.41,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/7/2018,84.7,70.4,76.6,,89.6,0.3,,11.4,,53.3,84.26,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/8/2018,83.9,70.2,76.9,,86.1,0,,15.5,,65.9,72.02,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/9/2018,88.4,66.5,77.8,,90.3,0,,6.7,,13,66.96,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/10/2018,91.2,70.2,81.1,,95.5,0,,7.8,,17.4,69.16,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,7/11/2018,92.3,72.8,82.7,,98.6,0,,8.1,,26.3,71.24,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
