Location,Address,Country,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,30308, USA,1/1/2019,64.9,56.1,61.2,,,0.2,,6,,70.7,91.08,"Rain, Partially cloudy"
,30308, USA,1/2/2019,56.8,48.8,52.1,46.4,,0.4,,7.2,,72.8,92.82,"Rain, Partially cloudy"
,30308, USA,1/3/2019,54.4,50.1,52.3,,,0.3,,9.9,,99.4,96.68,"Rain, Overcast"
,30308, USA,1/4/2019,64.6,45,54.3,40.2,,1.2,,18.1,33.6,87.5,86.99,"Rain, Overcast"
,30308, USA,1/5/2019,57.5,43.6,48.6,36.2,,0,,17,33.3,40.7,65.53,Partially cloudy
,30308, USA,1/6/2019,68.3,41.1,52.5,38.1,,0,,7.7,,5.5,63.1,Clear
,30308, USA,1/7/2019,67.7,40,52.8,44.7,,0,,10.1,,18.2,68.92,Clear
,30308, USA,1/8/2019,64.5,48.4,55.8,47.9,,0,,10.4,,56,78.26,Partially cloudy
,30308, USA,1/9/2019,56.1,39.2,46.6,30,,0,,20.4,33.3,2.2,40.91,Clear
,30308, USA,1/10/2019,44.5,28.9,36.1,19.2,,0,,16.1,34.4,10.9,50.76,Clear
,30308, USA,1/11/2019,52.9,27.5,40,29.5,,0,,7.6,,13.5,50.51,Clear
,30308, USA,1/12/2019,42.7,36.9,40.5,29.5,,0.3,,12.3,,93.9,60.38,"Rain, Overcast"
,30308, USA,1/13/2019,45.6,35,39.9,28.2,,0.2,,9.5,,99.8,92.61,"Rain, Overcast"
,30308, USA,1/14/2019,45.3,39.2,42.9,31.7,,0,,13.2,,99.7,79.92,Overcast
,30308, USA,1/15/2019,44.2,32.8,37.7,27.1,,0,,12.8,,59.1,73.13,Partially cloudy
,30308, USA,1/16/2019,52.3,29.6,38.4,21.9,,0,,9.1,,19,75.53,Clear
,30308, USA,1/17/2019,47.8,31.5,40.1,41.8,,0.1,,5,,61.7,90.12,"Rain, Partially cloudy"
,30308, USA,1/18/2019,56.3,45.6,49.5,43.9,,0,,4.8,,75.6,92.24,Overcast
,30308, USA,1/19/2019,62.2,47.7,55.1,,,0.9,,13.9,,87.5,95.35,"Rain, Overcast"
,30308, USA,1/20/2019,52.6,28.5,35.5,17.8,,0,,21.4,37.8,63.8,67.8,Partially cloudy
,30308, USA,1/21/2019,42.7,20.8,30.6,11.1,,0,,15.6,,8.2,46.34,Clear
