Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Marietta,"30006, USA",,1/1/2019,64.5,54.8,60,,,0.2,,6.7,,38.9,90.49,"Rain, Partially cloudy"
Marietta,"30006, USA",,1/2/2019,57.4,46.8,51.4,46.9,,0.3,,8,,73,91.55,"Rain, Partially cloudy"
Marietta,"30006, USA",,1/3/2019,54.2,49.8,51.8,48.2,,0.4,,10.3,,99.6,96.34,"Rain, Overcast"
Marietta,"30006, USA",,1/4/2019,63.3,44.4,53.6,38.7,,0.8,,19.2,32.2,83.9,89.57,"Rain, Overcast"
Marietta,"30006, USA",,1/5/2019,57.5,42.6,48,35.1,,0,,19,,42.2,66.38,Partially cloudy
Marietta,"30006, USA",,1/6/2019,67.4,40.3,51.9,34.6,,0,,9.7,,23.6,63.06,Clear
Marietta,"30006, USA",,1/7/2019,68.2,38.1,53,,,0,,11.2,,59.7,66.76,Partially cloudy
Marietta,"30006, USA",,1/8/2019,65,47.9,55.6,49.2,,0,,14.6,,69,78.71,Partially cloudy
Marietta,"30006, USA",,1/9/2019,55.6,39,46.3,30.5,,0,,20.7,34.4,0,37.22,Clear
Marietta,"30006, USA",,1/10/2019,44,28.2,35.4,17.3,,0,,19,32.2,31.4,49.13,Partially cloudy
Marietta,"30006, USA",,1/11/2019,53.3,26.7,39.9,28.5,,0,,10.1,,31.3,49.11,Partially cloudy
Marietta,"30006, USA",,1/12/2019,43.1,35.8,39.9,27,,0.2,,15.6,,91.6,59.82,"Rain, Overcast"
Marietta,"30006, USA",,1/13/2019,44.9,34.9,39.4,27.5,,0.1,,10.2,,100,92.34,"Rain, Overcast"
Marietta,"30006, USA",,1/14/2019,44,39,42.4,32.7,,0,,12.3,,100,80.25,Overcast
Marietta,"30006, USA",,1/15/2019,44.3,32.4,37.1,25.7,,0,,14.7,,70.6,71.56,Partially cloudy
Marietta,"30006, USA",,1/16/2019,50.8,29.1,37.5,21.5,,0,,10.1,,29.1,75.84,Partially cloudy
Marietta,"30006, USA",,1/17/2019,46.8,31.3,39.5,26.9,,0.2,,5.7,,65.2,89.53,"Rain, Partially cloudy"
Marietta,"30006, USA",,1/18/2019,56.6,44.9,49.2,48.5,,0,,3.4,,65.6,94.52,Partially cloudy
Marietta,"30006, USA",,1/19/2019,61.9,46.7,54.9,47.6,,0.9,,18.4,,74.8,95.31,"Rain, Partially cloudy"
Marietta,"30006, USA",,1/20/2019,51.6,27.8,34.7,16,,0,,23.8,35.6,58.2,65.26,Partially cloudy
Marietta,"30006, USA",,1/21/2019,41.7,20.1,29.7,9.5,,0,,17.9,,31,43.79,Partially cloudy
Marietta,"30006, USA",,1/22/2019,43.2,29.5,36.6,19,,0,,15.7,,62.3,36.52,Partially cloudy
Marietta,"30006, USA",,1/23/2019,66.4,41.2,51.4,34,,1.5,,20.7,31.1,95.9,70.42,"Rain, Overcast"
Marietta,"30006, USA",,1/24/2019,53.1,33.6,41.1,25.5,,0.6,,20.5,,63.3,81.52,"Rain, Partially cloudy"
Marietta,"30006, USA",,1/25/2019,45.8,27.6,36.1,21.2,,0,,13.8,,26.7,59.14,Partially cloudy
Marietta,"30006, USA",,1/26/2019,49.9,24.3,35.8,19.6,,0,,14.5,,16.5,60.81,Clear
Marietta,"30006, USA",,1/27/2019,50.7,28.7,38.8,37,,0,,5.5,,69.3,73.05,Partially cloudy
Marietta,"30006, USA",,1/28/2019,57.8,28.1,43.1,42.5,,0,,11.5,,54.6,67.94,Partially cloudy
Marietta,"30006, USA",,1/29/2019,49.8,26.8,39.7,17.8,,0.1,,19.3,29.8,64.5,62.57,"Rain, Partially cloudy"
Marietta,"30006, USA",,1/30/2019,41.7,19.9,30.4,12.2,,0,,19.2,29.8,46,49.38,Partially cloudy
Marietta,"30006, USA",,1/31/2019,50.3,25.9,36.3,22.1,,0,,8,,24.1,49.64,Clear
Marietta,"30006, USA",,2/1/2019,61.1,27.8,42.2,38.9,,0,,5.7,,38.1,54.6,Partially cloudy
Marietta,"30006, USA",,2/2/2019,65.9,33.1,50.1,,,0,,8,,53.3,61.15,Partially cloudy
Marietta,"30006, USA",,2/3/2019,63.2,45.2,54.8,,,0,,6.8,,76.9,72.2,Overcast
Marietta,"30006, USA",,2/4/2019,64.7,38.5,51.6,,,0,,6.9,,63.2,82.62,Partially cloudy
Marietta,"30006, USA",,2/5/2019,71.4,53.8,61,,,0,,6.7,,86.3,84.08,Overcast
Marietta,"30006, USA",,2/6/2019,69.6,54.9,63.2,,,0,,10,,84.7,91.18,Overcast
Marietta,"30006, USA",,2/7/2019,80,63.7,69.8,,,0,,16,31.1,77,71.48,Overcast
Marietta,"30006, USA",,2/8/2019,67.8,40.5,52,34.9,,0,,20.2,29.8,90.7,54.46,Overcast
Marietta,"30006, USA",,2/9/2019,54.3,35.8,43.9,30.1,,0,,13.8,,85.7,40.88,Overcast
Marietta,"30006, USA",,2/10/2019,45.6,35.8,40,27,,0.1,,13.8,,86.2,63.34,"Rain, Overcast"
