Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
30002,Avondale Estates,GA,33.772122,-84.26491,-5,1,33.772122
30003,Norcross,GA,33.960353,-84.037859,-5,1,33.960353
30004,Alpharetta,GA,34.119177,-84.30292,-5,1,34.119177
30005,Alpharetta,GA,34.080035,-84.21929,-5,1,34.080035
30006,Marietta,GA,33.912473,-84.557181,-5,1,33.912473
30007,Marietta,GA,33.912473,-84.557181,-5,1,33.912473
30008,Marietta,GA,33.907336,-84.5788,-5,1,33.907336
30009,Alpharetta,GA,33.844371,-84.47405,-5,1,33.844371
30010,Norcross,GA,33.960353,-84.037859,-5,1,33.960353
30011,Auburn,GA,34.022974,-83.83416,-5,1,34.022974
30012,Conyers,GA,33.696714,-84.01732,-5,1,33.696714
30013,Conyers,GA,33.633685,-83.98382,-5,1,33.633685
30014,Covington,GA,33.581406,-83.851,-5,1,33.581406
30015,Covington,GA,33.555791,-83.864915,-5,1,33.555791
30016,Covington,GA,33.542118,-83.93372,-5,1,33.542118
30017,Grayson,GA,33.888829,-83.96848,-5,1,33.888829
30018,Jersey,GA,33.717989,-83.801451,-5,1,33.717989
30019,Dacula,GA,33.981721,-83.88302,-5,1,33.981721
30021,Clarkston,GA,33.809604,-84.2387,-5,1,33.809604
30022,Alpharetta,GA,34.026238,-84.24506,-5,1,34.026238
30023,Alpharetta,GA,33.844371,-84.47405,-5,1,33.844371
30024,Suwanee,GA,34.052698,-84.07485,-5,1,34.052698
30025,Social Circle,GA,33.65072,-83.70779,-5,1,33.65072
30026,Duluth,GA,33.962979,-84.092267,-5,1,33.962979
30028,Cumming,GA,34.193041,-84.092588,-5,1,34.193041
30029,Duluth,GA,33.960353,-84.037859,-5,1,33.960353
30030,Decatur,GA,33.771705,-84.29407,-5,1,33.771705
30031,Decatur,GA,33.891251,-84.07456,-5,1,33.891251
30032,Decatur,GA,33.740055,-84.26791,-5,1,33.740055
30033,Decatur,GA,33.811354,-84.28335,-5,1,33.811354
30034,Decatur,GA,33.693448,-84.24743,-5,1,33.693448
30035,Decatur,GA,33.725739,-84.21114,-5,1,33.725739
30036,Decatur,GA,33.891251,-84.07456,-5,1,33.891251
30037,Decatur,GA,33.891251,-84.07456,-5,1,33.891251
30038,Lithonia,GA,33.676358,-84.15381,-5,1,33.676358
30039,Snellville,GA,33.822204,-84.03707,-5,1,33.822204
30040,Cumming,GA,34.235408,-84.17441,-5,1,34.235408
30041,Cumming,GA,34.201503,-84.09764,-5,1,34.201503
30042,Lawrenceville,GA,33.929464,-84.103226,-5,1,33.929464
30043,Lawrenceville,GA,34.001159,-84.01487,-5,1,34.001159
30044,Lawrenceville,GA,33.91967,-84.07482,-5,1,33.91967
30045,Lawrenceville,GA,33.949054,-83.98565,-5,1,33.949054
30046,Lawrenceville,GA,33.960353,-84.037859,-5,1,33.960353
30047,Lilburn,GA,33.872371,-84.11655,-5,1,33.872371
30048,Lilburn,GA,33.960353,-84.037859,-5,1,33.960353
30052,Loganville,GA,33.823809,-83.89423,-5,1,33.823809
30054,Oxford,GA,33.658113,-83.86249,-5,1,33.658113
30055,Mansfield,GA,33.504952,-83.74735,-5,1,33.504952
30056,Newborn,GA,33.500008,-83.67165,-5,1,33.500008
30058,Lithonia,GA,33.750257,-84.0964,-5,1,33.750257
30060,Marietta,GA,33.932052,-84.54746,-5,1,33.932052
30061,Marietta,GA,33.932842,-84.556004,-5,1,33.932842
30062,Marietta,GA,33.99605,-84.47464,-5,1,33.99605
30063,Marietta,GA,33.965294,-84.511209,-5,1,33.965294
30064,Marietta,GA,33.946735,-84.602,-5,1,33.946735
30065,Marietta,GA,33.912473,-84.557181,-5,1,33.912473
30066,Marietta,GA,34.027533,-84.51475,-5,1,34.027533
30067,Marietta,GA,33.933002,-84.47633,-5,1,33.933002
30068,Marietta,GA,33.965601,-84.4433,-5,1,33.965601
30069,Marietta,GA,33.912473,-84.557181,-5,1,33.912473
30070,Porterdale,GA,33.576043,-83.89821,-5,1,33.576043
30071,Norcross,GA,33.940768,-84.2062,-5,1,33.940768
30072,Pine Lake,GA,33.791505,-84.20642,-5,1,33.791505
30074,Redan,GA,33.891251,-84.07456,-5,1,33.891251
30075,Roswell,GA,34.049789,-84.38539,-5,1,34.049789
30076,Roswell,GA,34.032532,-84.31774,-5,1,34.032532
30077,Roswell,GA,33.844371,-84.47405,-5,1,33.844371
30078,Snellville,GA,33.860955,-84.01807,-5,1,33.860955
30079,Scottdale,GA,33.791537,-84.25994,-5,1,33.791537
30080,Smyrna,GA,33.87578,-84.50382,-5,1,33.87578
30081,Smyrna,GA,33.858836,-84.71062,-5,1,33.858836
30082,Smyrna,GA,33.859137,-84.53744,-5,1,33.859137
30083,Stone Mountain,GA,33.795622,-84.19771,-5,1,33.795622
30084,Tucker,GA,33.853853,-84.22036,-5,1,33.853853
30085,Tucker,GA,33.891251,-84.07456,-5,1,33.891251
30086,Stone Mountain,GA,33.891251,-84.07456,-5,1,33.891251
