,Location,Address,Country,Date,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
0,,30342, USA,01/01/2019,64.3,55.2,60.1,,,0.2,,6.6,,56.6,91.32,"Rain, Partially cloudy",0,3,1,0,0,4,4,30342
1,,30342, USA,01/02/2019,56.9,47.2,51.4,46.3,,0.4,,7.1,,67.1,93.21,"Rain, Partially cloudy",0,1,0,0,0,1,1,30342
2,,30342, USA,01/03/2019,53.9,49.2,51.8,47.4,,0.4,,7.8,,99.3,97.34,"Rain, Overcast",0,1,2,0,0,3,3,30342
3,,30342, USA,01/04/2019,64.0,44.2,53.4,39.1,,1.0,,19.7,34.2,88.8,88.43,"Rain, Overcast",0,0,1,0,0,1,1,30342
4,,30342, USA,01/05/2019,56.4,43.1,47.7,35.2,,0.0,,18.0,31.1,43.9,67.09,Partially cloudy,0,0,0,0,0,0,0,30342
5,,30342, USA,01/06/2019,68.0,39.5,51.7,37.2,,0.0,,8.6,,4.0,63.39,Clear,0,1,0,0,0,1,1,30342
6,,30342, USA,01/07/2019,66.6,38.1,51.8,,,0.0,,10.0,,10.0,69.94,Clear,0,3,0,0,1,2,3,30342
7,,30342, USA,01/08/2019,64.2,46.8,55.0,47.1,,0.0,,11.0,,49.7,79.14,Partially cloudy,0,2,1,0,0,3,3,30342
8,,30342, USA,01/09/2019,55.4,38.4,46.0,28.5,,0.0,,21.3,34.4,0.0,39.71,Clear,0,0,2,0,0,2,2,30342
9,,30342, USA,01/10/2019,44.1,28.2,35.4,17.8,,0.0,,16.5,32.2,5.3,51.14,Clear,0,4,0,0,1,3,4,30342
10,,30342, USA,01/11/2019,52.3,26.2,38.8,29.4,,0.0,,6.9,,9.9,51.91,Clear,0,0,0,0,0,0,0,30342
11,,30342, USA,01/12/2019,41.6,35.4,39.2,29.5,,0.3,,10.0,,92.9,60.79,"Rain, Overcast",0,0,0,0,0,0,0,30342
12,,30342, USA,01/13/2019,44.3,34.4,38.8,28.1,,0.2,,9.4,,100.0,93.61,"Rain, Overcast",0,0,1,0,0,1,1,30342
13,,30342, USA,01/14/2019,45.6,38.4,42.3,31.1,,0.0,,13.1,,100.0,80.0,Overcast,0,3,1,0,0,4,4,30342
14,,30342, USA,01/15/2019,44.6,32.3,37.2,26.4,,0.0,,15.3,,56.9,72.98,Partially cloudy,0,1,0,0,0,1,1,30342
15,,30342, USA,01/16/2019,51.7,29.1,37.8,20.9,,0.0,,10.0,,7.6,75.94,Clear,0,1,0,0,0,1,1,30342
16,,30342, USA,01/17/2019,48.2,30.2,39.2,36.7,,0.2,,4.7,,54.6,90.7,"Rain, Partially cloudy",0,1,3,0,0,4,4,30342
17,,30342, USA,01/18/2019,55.5,44.3,48.5,43.3,,0.0,,4.5,,65.1,93.71,Partially cloudy,0,0,0,0,0,0,0,30342
18,,30342, USA,01/19/2019,61.4,46.3,54.2,47.9,,0.8,,13.3,,85.3,96.31,"Rain, Overcast",0,0,1,0,0,1,1,30342
19,,30342, USA,01/20/2019,52.1,27.2,34.7,16.0,,0.0,,22.6,37.8,62.7,67.0,Partially cloudy,0,0,0,0,0,0,0,30342
20,,30342, USA,01/21/2019,42.2,20.1,29.9,9.8,,0.0,,16.4,,5.2,45.63,Clear,0,0,0,0,0,0,0,30342
21,,30342, USA,01/22/2019,42.6,28.6,36.0,21.3,,0.0,,10.8,,57.4,37.17,Partially cloudy,0,0,0,0,0,0,0,30342
22,,30342, USA,01/23/2019,65.5,40.4,50.6,34.2,,1.4,,15.6,31.1,96.9,70.55,"Rain, Overcast",0,1,0,0,0,1,1,30342
23,,30342, USA,01/24/2019,52.5,33.3,41.3,26.8,,0.4,,20.2,37.8,62.1,80.7,"Rain, Partially cloudy",0,0,1,0,0,1,1,30342
24,,30342, USA,01/25/2019,44.6,29.5,35.8,21.7,,0.0,,14.1,,4.5,60.08,Clear,0,2,0,0,0,2,2,30342
25,,30342, USA,01/26/2019,48.6,24.5,35.5,21.6,,0.0,,12.6,,2.8,62.58,Clear,0,0,0,0,0,0,0,30342
26,,30342, USA,01/27/2019,50.3,27.6,37.8,45.1,,0.0,,6.9,,14.4,75.86,Clear,0,0,0,0,0,0,0,30342
27,,30342, USA,01/28/2019,56.5,27.3,42.6,44.4,,0.0,,13.5,,45.7,69.54,Partially cloudy,0,1,0,0,1,0,1,30342
28,,30342, USA,01/29/2019,50.0,27.0,39.8,16.6,,0.1,,16.9,29.8,59.7,63.53,"Rain, Partially cloudy",0,0,0,0,0,0,0,30342
29,,30342, USA,01/30/2019,42.1,20.3,30.5,14.1,,0.0,,15.4,29.8,7.7,49.29,Clear,0,1,0,0,0,1,1,30342
30,,30342, USA,01/31/2019,50.1,23.9,35.4,18.7,,0.0,,9.0,,14.4,54.28,Clear,0,1,1,0,0,2,2,30342
31,,30342, USA,02/01/2019,59.6,25.8,41.1,39.3,,0.0,,6.8,,6.4,58.71,Clear,0,0,0,0,0,0,0,30342
32,,30342, USA,02/02/2019,65.2,30.6,49.3,30.6,,0.0,,6.2,,42.1,64.69,Partially cloudy,0,2,0,0,0,2,2,30342
33,,30342, USA,02/03/2019,62.7,44.8,54.3,,,0.0,,6.8,,70.3,72.41,Partially cloudy,0,0,0,0,0,0,0,30342
34,,30342, USA,02/04/2019,64.4,38.1,50.9,,,0.0,,6.0,,45.4,83.61,Partially cloudy,0,0,0,0,0,0,0,30342
35,,30342, USA,02/05/2019,71.0,53.9,60.9,,,0.0,,6.7,,77.1,83.4,Overcast,0,0,5,0,0,5,5,30342
36,,30342, USA,02/06/2019,69.3,53.6,62.3,,,0.1,,9.5,,89.7,93.19,"Rain, Overcast",0,1,2,0,1,2,3,30342
37,,30342, USA,02/07/2019,78.5,61.7,69.1,,,0.0,,17.5,31.1,48.8,72.63,Partially cloudy,0,0,1,0,0,1,1,30342
